run_id,lr_g,beta,latent_dim,lambda_cons,vae_n_res_blocks,free_bits_tau,recon_loss,kl_loss,cons_loss,elbo
1.0,1e-05,0.05,64.0,10.0,1.0,0.0,1.0644091413342441e-05,6.798224915862798e-06,0.0,1.0984002661481396e-05
2.0,1e-05,0.05,64.0,10.0,1.0,1.0,5.752479056310229e-06,0.9611418933964601,0.0,0.05000575320736132
3.0,1e-05,0.05,64.0,10.0,1.0,2.0,9.478464169671068e-06,1.944357869741896,0.0,0.10000947996415735
4.0,1e-05,0.05,64.0,10.0,3.0,0.0,6.1618923348993565e-06,1.1720529655367001e-06,0.0,6.220494984119759e-06
5.0,1e-05,0.05,64.0,10.0,3.0,1.0,5.292118310545927e-06,0.9672743576747883,0.0,0.050005292883867486
6.0,1e-05,0.05,64.0,10.0,3.0,2.0,5.398679037244339e-06,1.9450154253660086,0.0,0.10000540021946519
7.0,1e-05,0.05,64.0,10.0,5.0,0.0,3.030329922741542e-05,3.5348196827723876e-07,0.0,3.032097335146124e-05
8.0,1e-05,0.05,64.0,10.0,5.0,1.0,1.3292680371571828e-05,0.9745044982398965,0.0,0.050013293370991
9.0,1e-05,0.05,64.0,10.0,5.0,2.0,1.4839024066579326e-05,1.9451101787495682,0.0,0.10001484048727266
10.0,1e-05,0.05,128.0,10.0,1.0,0.0,4.58849427999803e-06,1.4416674470318818e-06,0.0,4.66057765560952e-06
11.0,1e-05,0.05,128.0,10.0,1.0,1.0,2.973946361608961e-06,0.9726816900868924,0.0,0.050002974692614
12.0,1e-05,0.05,128.0,10.0,1.0,2.0,2.9740893945906415e-06,1.9167128334814945,0.0,0.10000297560300195
13.0,1e-05,0.05,128.0,10.0,3.0,0.0,3.469243193041086e-06,1.66660276799873e-07,0.0,3.4775762077271784e-06
14.0,1e-05,0.05,128.0,10.0,3.0,1.0,3.825357263393525e-06,0.963406502272966,0.0,0.050003826128646345
15.0,1e-05,0.05,128.0,10.0,3.0,2.0,3.532665935758801e-06,1.9490139983916488,0.0,0.1000035341775383
16.0,1e-05,0.05,128.0,10.0,5.0,0.0,3.9469394488656865e-06,9.454822297507221e-08,0.0,3.9516668605282016e-06
17.0,1e-05,0.05,128.0,10.0,5.0,1.0,9.448426081356961e-06,0.9682799535800813,0.0,0.050009449223534175
18.0,1e-05,0.05,128.0,10.0,5.0,2.0,9.738076533441601e-06,1.9345115710404146,0.0,0.10000973959219903
19.0,1e-05,0.05,256.0,10.0,1.0,0.0,4.911632333816607e-06,2.718275441806044e-06,0.0,5.047546103528331e-06
20.0,1e-05,0.05,256.0,10.0,1.0,1.0,3.7146378812793083e-06,0.977085385405021,0.0,0.050003715413448106
21.0,1e-05,0.05,256.0,10.0,1.0,2.0,4.852913488522883e-06,1.916959067930062,0.0,0.10000485433453442
22.0,1e-05,0.05,256.0,10.0,3.0,0.0,1.2237381169974055e-05,5.119399753490111e-07,0.0,1.2262978171808101e-05
23.0,1e-05,0.05,256.0,10.0,3.0,1.0,1.278748478432557e-05,0.9726709518721193,0.0,0.05001278823021509
24.0,1e-05,0.05,256.0,10.0,3.0,2.0,1.3223766285806334e-05,1.9454975488206494,0.0,0.1000132253388163
25.0,1e-05,0.05,256.0,10.0,5.0,0.0,6.667248369460863e-06,1.1573462734926978e-07,0.0,6.673035103675822e-06
26.0,1e-05,0.05,256.0,10.0,5.0,1.0,4.425692233429648e-06,0.9639357295091283,0.0,0.05000442648440685
27.0,1e-05,0.05,256.0,10.0,5.0,2.0,4.454761237971319e-06,1.94854697219233,0.0,0.10000445626740496
28.0,1e-05,0.1,64.0,10.0,1.0,0.0,1.2463527042247617e-05,8.08735847868101e-06,0.0,1.3272262898031206e-05
29.0,1e-05,0.1,64.0,10.0,1.0,1.0,5.547196207368139e-06,0.9627800493487707,0.0,0.10000554863846611
30.0,1e-05,0.1,64.0,10.0,1.0,2.0,9.365590107524888e-06,1.9430570850454765,0.0,0.2000093686735252
31.0,1e-05,0.1,64.0,10.0,3.0,0.0,9.549288530587434e-06,6.62861209050288e-07,0.0,9.61557466365073e-06
32.0,1e-05,0.1,64.0,10.0,3.0,1.0,5.268930748759424e-06,0.968119831181397,0.0,0.10000527032600012
33.0,1e-05,0.1,64.0,10.0,3.0,2.0,5.468137375123464e-06,1.948289503693924,0.0,0.20000547113954506
34.0,1e-05,0.1,64.0,10.0,5.0,0.0,2.2981513726854797e-05,2.214988231910391e-07,0.0,2.3003663634210397e-05
35.0,1e-05,0.1,64.0,10.0,5.0,1.0,1.2953302289408924e-05,0.9676065927623672,0.0,0.10001295479900212
36.0,1e-05,0.1,64.0,10.0,5.0,2.0,1.4925341190879638e-05,1.9419938378787522,0.0,0.20001492839553514
37.0,1e-05,0.1,128.0,10.0,1.0,0.0,6.14385328095334e-06,4.7536171328168875e-06,0.0,6.6192149957814315e-06
38.0,1e-05,0.1,128.0,10.0,1.0,1.0,2.9824504548039536e-06,0.9658023884042196,0.0,0.10000298397685334
39.0,1e-05,0.1,128.0,10.0,1.0,2.0,2.971873707973689e-06,1.9255501786982292,0.0,0.2000029749159167
40.0,1e-05,0.1,128.0,10.0,3.0,0.0,3.5093340473851132e-06,1.9640803528809215e-07,0.0,3.528974851438127e-06
41.0,1e-05,0.1,128.0,10.0,3.0,1.0,3.928528448543059e-06,0.9705062507552441,0.0,0.1000039299386379
42.0,1e-05,0.1,128.0,10.0,3.0,2.0,3.511384108398792e-06,1.9587194429694403,0.0,0.2000035144925461
43.0,1e-05,0.1,128.0,10.0,5.0,0.0,6.15313969993289e-06,6.162360039044125e-08,0.0,6.159302059915419e-06
44.0,1e-05,0.1,128.0,10.0,5.0,1.0,9.263418195081435e-06,0.9679253888748565,0.0,0.10000926485494509
45.0,1e-05,0.1,128.0,10.0,5.0,2.0,1.0052653712305873e-05,1.9439673983741563,0.0,0.20001005576735614
46.0,1e-05,0.1,256.0,10.0,1.0,0.0,4.960901818126606e-06,1.9039545249187532e-06,0.0,5.151297270828163e-06
47.0,1e-05,0.1,256.0,10.0,1.0,1.0,3.701110790381622e-06,0.9770906839659304,0.0,0.10000370256495407
48.0,1e-05,0.1,256.0,10.0,1.0,2.0,5.011159433439436e-06,1.8983632333684037,0.0,0.2000050140990304
49.0,1e-05,0.1,256.0,10.0,3.0,0.0,1.7331357435396267e-05,4.583237293323686e-07,0.0,1.7377189789043696e-05
50.0,1e-05,0.1,256.0,10.0,3.0,1.0,1.2370416929278394e-05,0.969967245918186,0.0,0.100012371974651
51.0,1e-05,0.1,256.0,10.0,3.0,2.0,1.33590912154922e-05,1.9428044093788872,0.0,0.2000133621503709
52.0,1e-05,0.1,256.0,10.0,5.0,0.0,3.9115534889824945e-06,6.765462538602355e-08,0.0,3.918318955083639e-06
53.0,1e-05,0.1,256.0,10.0,5.0,1.0,4.453078107942756e-06,0.9655549864947625,0.0,0.10000445457975184
54.0,1e-05,0.1,256.0,10.0,5.0,2.0,4.384632360249011e-06,1.95167596175279,0.0,0.2000043874429351
55.0,1e-05,0.5,64.0,10.0,1.0,0.0,1.4552657958958835e-05,1.0186565760450741e-06,0.0,1.5061986240330528e-05
56.0,1e-05,0.5,64.0,10.0,1.0,1.0,5.527954022327531e-06,0.9639476699513042,0.0,0.5000055270854609
57.0,1e-05,0.5,64.0,10.0,1.0,2.0,9.395259244504445e-06,1.9402768517090196,0.0,1.0000093954784381
58.0,1e-05,0.5,64.0,10.0,3.0,0.0,1.2186152760409706e-05,1.7534448229905926e-07,0.0,1.2273825001936008e-05
59.0,1e-05,0.5,64.0,10.0,3.0,1.0,6.002560366946206e-06,0.9617499496132909,0.0,0.5000060032698881
