run_id,lr_g,lambda_cons,beta,latent_dim,vae_n_res_blocks,free_bits_tau,VAE_Loss_Final,Recon_Loss_Final,KL_Loss_Final,Cons_Loss_Final
1,5e-05,5.0,0.05,64,3,1.0,0.0465,0.0,0.9665,0.0
2,5e-05,10.0,0.05,64,3,1.0,0.0466,0.0,0.9657,0.0
3,5e-05,20.0,0.05,64,3,1.0,0.048,0.0,0.9632,0.0
4,5e-05,50.0,0.05,64,3,1.0,0.048,0.0,0.9679,0.0
5,1e-05,5.0,0.05,64,3,1.0,0.0468,0.0,0.9783,0.0
6,1e-05,10.0,0.05,64,3,1.0,0.0467,0.0,0.9772,0.0
7,1e-05,20.0,0.05,64,3,1.0,0.0466,0.0,0.9779,0.0
8,1e-05,50.0,0.05,64,3,1.0,0.0463,0.0,0.9774,0.0
9,5e-06,5.0,0.05,64,3,1.0,0.0448,0.0,0.9781,0.0
10,5e-06,10.0,0.05,64,3,1.0,0.0446,0.0,0.9782,0.0
11,5e-06,20.0,0.05,64,3,1.0,0.0444,0.0,0.9783,0.0
12,5e-06,50.0,0.05,64,3,1.0,0.0439,0.0,0.9781,0.0
