Temp,Type
0.29938385,Real Data
-0.16857015,Real Data
-0.54293334,Real Data
-0.07497935,Real Data
-1.7596138,Real Data
0.11220226,Real Data
-1.0108874,Real Data
-0.87050116,Real Data
-2.4709039,Real Data
0.48656544,Real Data
0.48656544,Real Data
1.2352918,Real Data
0.48656544,Real Data
-1.0108874,Real Data
-0.54293334,Real Data
0.018611453,Real Data
-1.0108874,Real Data
-0.9360147,Real Data
-0.26216096,Real Data
-1.0108874,Real Data
1.4224734,Real Data
0.5240018,Real Data
1.7968366,Real Data
-0.54293334,Real Data
-1.0108874,Real Data
-1.0108874,Real Data
0.67374706,Real Data
-1.0108874,Real Data
0.67374706,Real Data
0.11220226,Real Data
0.67374706,Real Data
0.11220226,Real Data
-0.07497935,Real Data
-0.07497935,Real Data
-0.54293334,Real Data
-0.54293334,Real Data
-0.59908783,Real Data
-0.35575175,Real Data
0.48656544,Real Data
-1.0108874,Real Data
1.4224734,Real Data
-1.0108874,Real Data
0.48656544,Real Data
0.39297464,Real Data
-1.3852506,Real Data
-2.4709039,Real Data
-0.26216096,Real Data
0.86092865,Real Data
0.86092865,Real Data
-1.0108874,Real Data
-2.4709039,Real Data
-1.0108874,Real Data
0.86092865,Real Data
0.48656544,Real Data
-2.7891126,Real Data
-1.0108874,Real Data
-2.4709039,Real Data
0.11220226,Real Data
-0.07497935,Real Data
-0.58036965,Real Data
-0.54293334,Real Data
3.6686528,Real Data
-1.2916597,Real Data
-0.54293334,Real Data
0.67374706,Real Data
-0.54293334,Real Data
-0.07497935,Real Data
-0.54293334,Real Data
1.2352918,Real Data
0.39297464,Real Data
0.018611453,Real Data
-0.63652414,Real Data
0.11220226,Real Data
0.48656544,Real Data
1.2352918,Real Data
0.11220226,Real Data
0.86092865,Real Data
-0.54293334,Real Data
0.58015627,Real Data
0.67374706,Real Data
-1.0108874,Real Data
-2.4709039,Real Data
0.86092865,Real Data
-1.0108874,Real Data
-0.07497935,Real Data
0.67374706,Real Data
1.0481102,Real Data
0.67374706,Real Data
-0.54293334,Real Data
0.86092865,Real Data
0.48656544,Real Data
-0.54293334,Real Data
-0.54293334,Real Data
0.29938385,Real Data
2.639154,Real Data
0.11220226,Real Data
-1.0108874,Real Data
-1.2916597,Real Data
0.018611453,Real Data
-1.0108874,Real Data
0.86092865,Real Data
0.48656544,Real Data
0.48656544,Real Data
-1.0108874,Real Data
-1.0108874,Real Data
1.0481102,Real Data
-0.54293334,Real Data
-0.26216096,Real Data
0.86092865,Real Data
0.76733786,Real Data
-0.54293334,Real Data
-0.07497935,Real Data
-0.07497935,Real Data
0.86092865,Real Data
0.67374706,Real Data
-1.0108874,Real Data
0.86092865,Real Data
-1.0108874,Real Data
-0.5897288,Real Data
-1.0108874,Real Data
0.39297464,Real Data
-1.0108874,Real Data
1.4224734,Real Data
0.11220226,Real Data
0.86092865,Real Data
-0.617806,Real Data
0.39297464,Real Data
-0.54293334,Real Data
-0.34491733,GAN
0.3934535,GAN
0.6838143,GAN
-0.78643394,GAN
1.2734492,GAN
-2.27276,GAN
0.819374,GAN
-0.6894717,GAN
0.58467436,GAN
0.7194256,GAN
0.8005275,GAN
1.0278095,GAN
-0.60181135,GAN
-0.7166393,GAN
0.2731229,GAN
-2.3631244,GAN
-0.030248791,GAN
0.8997232,GAN
-0.30981958,GAN
-0.17469233,GAN
0.61089754,GAN
0.10549915,GAN
-2.3204195,GAN
1.3772087,GAN
-0.59019846,GAN
1.2131469,GAN
1.3465877,GAN
0.563918,GAN
0.77654535,GAN
0.10906789,GAN
-0.5237746,GAN
0.5066747,GAN
0.37961125,GAN
0.13474111,GAN
-0.8023371,GAN
-0.05256018,GAN
1.8949816,GAN
-1.0517428,GAN
0.88725704,GAN
-0.17534792,GAN
-0.5005832,GAN
-2.3214798,GAN
-0.24960452,GAN
0.87207395,GAN
0.55148447,GAN
-2.347078,GAN
0.39914763,GAN
0.8651764,GAN
0.712933,GAN
0.0006532371,GAN
0.6682064,GAN
-0.54053885,GAN
1.3109136,GAN
-0.9061542,GAN
0.57329863,GAN
-2.3457146,GAN
-0.5189884,GAN
0.5710383,GAN
0.42589965,GAN
0.24100831,GAN
0.25840074,GAN
0.8585626,GAN
0.8174276,GAN
0.16113281,GAN
0.37477326,GAN
-0.89306134,GAN
-0.92920595,GAN
-0.13986364,GAN
-0.09651826,GAN
0.46400732,GAN
-1.1584382,GAN
-0.32031116,GAN
1.4612038,GAN
-0.93404466,GAN
0.7525657,GAN
0.3751657,GAN
0.4998604,GAN
0.6939676,GAN
-0.8368361,GAN
0.4737575,GAN
0.054954156,GAN
2.6671875,GAN
-1.0892448,GAN
1.9144549,GAN
0.60312676,GAN
-1.0218596,GAN
-0.8340387,GAN
0.95865834,GAN
-0.9985303,GAN
-0.9905266,GAN
0.61965805,GAN
0.6758856,GAN
1.7969964,GAN
-2.2477493,GAN
0.4807064,GAN
-0.939905,GAN
-0.9609962,GAN
0.36728948,GAN
-0.801184,GAN
-0.8268528,GAN
-0.4491207,GAN
-0.6368072,GAN
2.2611134,GAN
1.0548339,GAN
1.8136458,GAN
1.2686214,GAN
0.09754315,GAN
-0.8677006,GAN
-0.9285845,GAN
0.20763642,GAN
0.51396805,GAN
0.4202279,GAN
0.09583813,GAN
0.8805746,GAN
-0.34635195,GAN
0.031644344,GAN
-0.74634004,GAN
-0.7061678,GAN
0.5820129,GAN
-0.4639824,GAN
0.3425673,GAN
-0.17499363,GAN
-0.35500443,GAN
-0.55865383,GAN
0.16024718,GAN
-0.11198358,GAN
0.6488534,GAN
0.6008352,GAN
0.6139572,VAE
